T-0, T-1, T-2, T-3, T-4, T-5, 
93,84,43,57,66,97,
resort, nhân_viên, thân_thiện, nhân_viên, phục_vụ, nhân_viên, 
dịch_vụ, chu_đáo, nhân_viên, đẹp, hài_lòng, phục_vụ, 
ở_đây, khách, nhiệt_tình, phòng, ngon, tốt, 
thái_độ, nhà_hàng, vui_vẻ, đội_ngũ, hồ, nhiệt_tình, 
spa, niềm_nở, khách_sạn, sạch_sẽ, phòng_ốc, chuyên_nghiệp, 
dễ_thương, đặc_biệt, bơi, thức_ăn,1, tận_tình, 
hơi, ân_cần, gia_đình, ok, amiana, lắm, 
chất_lượng, ﻿ấn_tượng, một_chút, lịch_sự, ﻿ấn_tượng, lễ_tân, 
đón, chủ_nhà, lâm_hơi, bãi_biển, quên_mất, khách_hàng, 
xúc_động, khách_sạn, khác_thường, xe, mức_giá, buffet, 
trời, không_gian, chu_đáo,5, bánh_bèo, cảm_thấy, 
mưa, cẩn_thận, nhà_hàng, lâm_có, sử_dụng, alma, 
túi_tiền, tắm, tính_chất, gia_đình, khu, thân_thiện, 
đồ_đạc, đồ_ăn, cứu_hộ, hồ, quầy, thái_độ, 
khánh_lâm, quầy, cố_gắng, mùi, clo, ô, 
hài_lòng, tiểu, tòa_nhà, đến_nơi, giờ, bố_trí, 
hội, giờ, tivi, đề_phòng, kịp, stick, 
bên_ngoài, tình_trạng, bực, website, thất_vọng, chờ, 
thực_sự, garden, miền, buổi_trưa, ốc, trú_chân, 
loại, phòng_không, ra_vào, bữa_tối, vật_dụng, thích_hợp, 
tránh, bụng, buộc, đào_tạo, góp_ý, tiếp_tân, 
gạch, ngoài_trời, an_viên, vết, hy_vọng, hỏng, 
dính, hư_hỏng, ú, ngăn, dơ, khu_vực, 
màu, giao, từ_tốn, springs, 100k, chấp_nhận, 
bus,16, ví_dụ, phòng_bị, sự_thoải_mái, loại, 
lát_nữa, thanh_tân, ngòai, nấu_nướng, thực_vật, kèm, 
vũng_tàu, 8h, giá_hơi, sắp_xếp_xong, công_tác, cứu_hộ, 
dể, tuyệt, hẹn_giờ, sống., buổi_tối, hen, 
nướng, khuân_viên, bậc_thang, tổng_thể, sớm, vô_cùng, 
nhà_tôi, hoa_viên, tạp_vụ, phân_biệt, ăn_trưa, hình_như, 
100k, cây_bàng, phim, cám_ơn, cười, kênh, 
thực_vật, thông, chĩa, amanoi, nói_năng, tiện, 
công_tác, nguyên_liệu, amanoi, tận, sắp_xếp_xong, đột_xuất, 
bàng, dài_lâu, xả, lắp_vào, xếp, bưng, 
chạy_bộ, tiện_lợi, dễ_dàng,460, carte, spa, 
thực_đơn, 1tr5, cát_trắng, trng, hồ_bơi_nên, massage, 
hợp_khẩu_vị, thiên_nhiên, quyết_định, sinh, 11h30, business, 
thoát, độ_sâu, khu_nghỉ, wc, số_ít, sang_trọng, 
1tr5, trống, tổng_hợp, 8km, báo_có, đầu_người, 
2-4pm, em_bé, mãn_nguyện, làm_dâu, hư_không, bbq, 
good, 2-4pm, ng, hàng_ngày, chống, kiểm_tra, 
em_bé_nhỏ, tận_dụng, đau_đầu, cụ_thể, trang, nghiên_cứu, 
chăn, định_lượng, hứng, chăm_chỉ, lắp, tiền_lương, 
đập, hoa_sen,  ,đặc_trưng, địa_thế, 16h30, 
tối_thiểu, độ,  ,tranh, cần_thiết, cứng_nhắc, 
ban_đầu, rét,  ,đối, hoa_lá, công_tác, 
mặc, vườn_hoa,  ,nilon, trơn, khuyết_điểm, 
cở, dễ_dàng,  ,sự_thân_thiết, nhà_hàng_hải_sản, tí_xíu, 
28, 4.5usd,  ,cook, phá, bàng, 
linh_hoạt, lắm..,  ,western, báo, đón_tiếp_khách, 
công_tắc, lễ_kỷ_niệm,  ,ngoại_ngữ, con_người, thực_khách, 
kỳ, sự_hoàn_mỹ,  ,foam, ngần_ngại, truyền, 
amaryllis, làm_vườn,  ,mềm, gia_hạn, điểm, 
đừng, nước_mặn,  ,cát_mịn, pax, /1, 
phan, tất_nhiên,  ,kê, buối, lần_sau, 
khó_tính, nhà_nước,  ,đúng_với, hầu_hết, chu_kỳ, 
mặt, cảm_tình,  ,nhung, a_la, giày_dép, 
chấp, buffer,  , ,buồng_tắm, no, 
nhà_ở, iphone,  , ,nghị, vào_cửa, 
ngán, bốn_biển,  , ,lấy_lại, lag, 
gia_hạn, giống,  , ,giật, courtyard, 
20, chuối,  , ,chocolate, ti, 
trừ_tuyệt_đối, hủy,  , ,hương, anh_ấy, 
km, 30/4-1/5,  , ,ao, chảy_nước, 
kiệm, buồng_tắm,  , ,máy_nước, hầm, 
ình, villas,  , ,voi, thoải, 
hàng_ngày, biết_được,  , , ,mệt, 
drap, thanh_thiếu_niên,  , , ,sự_hoàn_mỹ, 
rửa_mặt, câu_cá,  , , ,cần_thiết, 
trông, vietnamese,  , , ,chuẩn_sao, 
bớt, nổi_bật,  , , ,nhiên., 
hương_vị, sự_tiếp_khách,  , , ,đồ_chơi, 
2010, chào_đón,  , , ,tốc_độ, 
kêu, điều_hòa,  , , ,bàn_ủi, 
phái, đau_bụng,  , , ,đẹp_mắt, 
hoang_sơ, thời_điểm,  , , ,nước_quả, 
đáng_chê_trách, hòa..khâu,  , , ,hoành_tráng, 
cấu_trúc, gì_đó,  , , ,nên_thơ, 
nếu_được, thử,  , , ,tươi_tắn, 
xách, cạnh_đó,  , , ,muốn., 
vị_ngữ, con_đường_dài,  , , ,quyét, 
hòa..khâu, anantara,  , , ,vải, 
ít_món, phù_hợp_khẩu_vị,  , , ,gây_ra, 
điển..xưa..cũ, sờn,  , , ,tùm_lum, 
kinh_ngạc,  , , , ,muộn, 
phòng_khoáng,  , , , ,tận_tụy, 
5km,  , , , ,đúng_đắn, 
hồi_giáo,  , , , ,nếu_được, 
sử,  , , , ,nhi, 
vận_chuyển,  , , , ,quản, 
cửa_kính,  , , , ,sông, 
máy_nước,  , , , ,anantara, 
giành,  , , , ,vần_đề, 
 , , , , ,housekeeping, 
 , , , , ,bow, 
 , , , , ,trên_xe, 
 , , , , ,sao_khac, 
93,84,43,57,66,97,
